"Language","s.id","s.length","nCross"
"German",1,2,0
"German",2,2,1
"German",3,2,0
"German",4,2,0
"German",5,2,2
"German",6,2,1
"German",7,2,1
"German",8,2,0
"German",9,2,0
"German",10,2,0
"German",11,2,1
"German",12,2,1
"German",13,2,1
"German",14,2,0
"German",15,2,1
"German",16,2,0
"German",17,2,0
"German",18,2,0
"German",19,2,0
"German",20,2,0
"German",21,2,0
"German",22,2,0
"German",23,2,1
"German",24,2,0
"German",25,2,1
"German",26,2,0
"German",27,2,0
"German",28,2,0
"German",29,2,0
"German",30,2,1
"German",31,2,0
"German",32,2,0
"German",33,2,0
"German",34,2,0
"German",35,2,0
"German",36,2,0
"German",37,2,0
"German",38,2,1
"German",39,2,0
"German",40,2,0
"German",41,2,0
"German",42,2,0
"German",43,2,0
"German",44,2,1
"German",45,2,0
"German",46,2,0
"German",47,2,0
"German",48,2,0
"German",49,2,1
"German",50,2,0
"German",51,3,0
"German",52,3,0
"German",53,3,0
"German",54,3,0
"German",55,3,1
"German",56,3,0
"German",57,3,0
"German",58,3,0
"German",59,3,0
"German",60,3,0
"German",61,3,0
"German",62,3,0
"German",63,3,0
"German",64,3,0
"German",65,3,0
"German",66,3,1
"German",67,3,1
"German",68,3,1
"German",69,3,0
"German",70,3,1
"German",71,3,0
"German",72,3,0
"German",73,3,0
"German",74,3,0
"German",75,3,0
"German",76,3,0
"German",77,3,1
"German",78,3,0
"German",79,3,0
"German",80,3,0
"German",81,3,1
"German",82,3,0
"German",83,3,0
"German",84,3,1
"German",85,3,0
"German",86,3,2
"German",87,3,0
"German",88,3,0
"German",89,3,0
"German",90,3,0
"German",91,3,1
"German",92,3,0
"German",93,3,0
"German",94,3,1
"German",95,3,1
"German",96,3,0
"German",97,3,0
"German",98,3,0
"German",99,3,0
"German",100,3,0
"German",101,4,0
"German",102,4,1
"German",103,4,0
"German",104,4,0
"German",105,4,0
"German",106,4,0
"German",107,4,0
"German",108,4,0
"German",109,4,0
"German",110,4,1
"German",111,4,0
"German",112,4,0
"German",113,4,0
"German",114,4,0
"German",115,4,0
"German",116,4,1
"German",117,4,0
"German",118,4,0
"German",119,4,1
"German",120,4,1
"German",121,4,1
"German",122,4,0
"German",123,4,1
"German",124,4,0
"German",125,4,0
"German",126,4,0
"German",127,4,0
"German",128,4,0
"German",129,4,0
"German",130,4,0
"German",131,4,0
"German",132,4,1
"German",133,4,1
"German",134,4,1
"German",135,4,0
"German",136,4,0
"German",137,4,1
"German",138,4,0
"German",139,4,0
"German",140,4,2
"German",141,4,0
"German",142,4,1
"German",143,4,0
"German",144,4,1
"German",145,4,0
"German",146,4,0
"German",147,4,0
"German",148,4,0
"German",149,4,0
"German",150,4,1
"German",151,5,0
"German",152,5,0
"German",153,5,0
